target name,length,GC,probe count,mean depth,proportion covered,coverage std dev
NM_001177498.1,1578,0.431,49,2.391,0.986,0.86
XM_001343868.7,690,0.494,15,1.739,0.98,0.807
NM_001386401.1,690,0.494,15,1.739,0.98,0.807
NM_001310042.1,2334,0.526,53,1.817,0.958,0.708
NM_131339.1,1500,0.552,29,1.528,0.92,0.731
NM_001020554.1,1278,0.479,37,2.26,0.98,0.702
XM_005169592.4,1503,0.484,40,2.129,0.985,0.685
XM_021481023.1,1410,0.481,39,2.195,0.984,0.65
XM_017359015.2,1503,0.484,40,2.129,0.985,0.685
XM_005171365.4,2121,0.521,46,1.727,0.942,0.8
NM_001001591.1,2229,0.523,49,1.757,0.943,0.798
NM_001007400.2,1512,0.426,49,2.496,0.976,1.058
XM_017354073.2,1512,0.426,49,2.496,0.976,1.058
XM_021478299.1,660,0.423,22,2.568,0.989,0.96
NM_001110116.1,660,0.423,22,2.568,0.989,0.96
NM_001089541.1,1536,0.542,37,1.927,0.977,0.692
XM_005166160.4,1869,0.535,45,1.913,0.897,0.987
XM_005166161.4,1761,0.539,43,1.938,0.891,1.004
XM_005166163.4,1440,0.537,35,1.931,0.894,0.999
XM_005166162.4,1587,0.542,39,1.966,0.903,0.976
NM_001004588.1,1440,0.537,35,1.931,0.894,0.999
XM_009305773.3,1974,0.53,44,1.783,0.982,0.643
NM_131879.2,1560,0.506,36,1.846,0.99,0.717
NM_200704.1,615,0.515,11,1.431,0.917,0.681
NM_001078169.1,864,0.493,24,2.141,0.963,0.861
XM_021468284.1,2178,0.525,55,2.02,0.983,0.683
XM_009303802.3,825,0.518,19,1.836,0.97,0.694
NM_199845.1,822,0.516,16,1.547,0.905,0.832
NM_001076643.2,1599,0.485,46,2.199,0.972,0.938
XM_009302043.3,873,0.48,26,2.332,0.982,0.951
NM_205546.1,1398,0.559,34,1.946,0.987,0.579
NM_212665.1,1242,0.533,27,1.729,0.989,0.643
NM_131399.1,1377,0.541,37,2.114,0.965,0.856
XM_005164029.4,1383,0.541,33,1.891,0.953,0.766
NM_001030070.2,576,0.497,11,1.528,0.896,0.763
XM_005161350.4,1992,0.455,54,2.169,0.984,0.72
XM_021468817.1,1791,0.456,51,2.269,0.998,0.647
NM_001012371.2,1992,0.455,54,2.169,0.984,0.72
XM_017358462.2,2394,0.516,59,1.968,0.972,0.721
XM_005156246.4,2166,0.52,53,1.954,0.97,0.738
NM_001278842.1,2394,0.516,59,1.968,0.972,0.721
NM_001100086.1,1164,0.517,28,1.924,0.976,0.648
NM_001177495.1,1596,0.415,49,2.353,0.969,0.951
NM_001002378.1,525,0.505,14,2.017,0.907,1.073
XM_009307624.3,1158,0.659,26,1.793,0.966,0.716
NM_001128234.1,1158,0.66,26,1.793,0.966,0.716
NM_001079996.1,1533,0.466,34,1.774,0.921,0.794
XM_021468529.1,798,0.472,18,1.805,0.867,0.939
NM_001082936.1,1479,0.448,35,1.893,0.934,0.799
XM_005167148.4,924,0.439,21,1.818,0.944,0.907
NM_200364.1,711,0.429,19,2.131,0.994,0.769
NM_001162851.1,660,0.442,16,1.897,0.982,0.756
XM_682593.7,1926,0.497,45,1.869,0.966,0.726
XM_009301102.3,2088,0.495,46,1.762,0.966,0.662
XM_009301101.3,2088,0.495,46,1.762,0.966,0.662
NM_001004634.2,573,0.511,11,1.536,0.894,0.811
NM_001003571.1,1008,0.524,25,1.984,0.984,0.66
NM_001006098.1,783,0.525,17,1.737,0.95,0.72
XM_017354785.1,528,0.506,12,1.752,0.924,0.979
NM_001109705.2,528,0.506,12,1.752,0.924,0.979
NM_001166335.1,1854,0.498,42,1.812,0.977,0.698
XM_021481269.1,1620,0.536,39,1.926,0.97,0.647
XM_021481270.1,1605,0.538,39,1.933,0.973,0.638
XM_005170256.4,1623,0.536,39,1.922,0.973,0.642
XM_009304974.3,3963,0.498,103,2.072,0.993,0.619
NM_001079704.2,1509,0.449,44,2.238,0.963,1.133
XM_021466927.1,471,0.423,10,1.643,0.917,0.768
XM_017351513.2,693,0.431,18,1.988,0.957,0.832
NM_001386403.1,669,0.436,18,2.06,0.991,0.755
XM_005168471.4,1428,0.544,32,1.787,0.972,0.725
NM_201313.1,1362,0.547,31,1.803,0.975,0.712
NM_131850.1,1557,0.514,36,1.85,0.989,0.646
NM_001020822.1,1476,0.476,33,1.789,0.986,0.606
XM_017351367.1,867,0.46,19,1.753,0.941,0.718
NM_001078168.2,867,0.46,19,1.753,0.941,0.718
XM_021478222.1,939,0.472,24,2.001,0.961,0.817
NM_205620.2,915,0.471,26,2.17,0.957,0.999
XM_021478223.1,642,0.477,19,2.304,1,0.695
XM_021478224.1,618,0.479,20,2.46,1,0.732
NM_212855.2,2124,0.467,45,1.695,0.938,0.742
XM_021469979.1,1365,0.47,28,1.638,0.92,0.783
XM_021469986.1,1365,0.47,28,1.638,0.92,0.783
NM_001008607.1,960,0.484,21,1.75,0.988,0.595
NM_001100403.1,2913,0.502,63,1.73,0.99,0.555
XM_683131.7,2331,0.462,58,1.991,0.968,0.721
XM_005166214.4,2334,0.462,60,2.057,0.978,0.687
NM_198910.1,1683,0.477,44,2.092,0.984,0.685
NM_001110288.1,1545,0.478,39,1.966,0.958,0.837
NM_001127516.1,819,0.507,13,1.27,0.894,0.705
NM_178222.3,2238,0.549,53,1.887,0.99,0.693
NM_001044745.1,1542,0.54,32,1.66,0.973,0.694
NM_001002574.1,1452,0.475,39,2.144,0.97,0.709
XM_005169927.4,1383,0.475,38,2.185,0.97,0.69
NM_212917.2,1686,0.477,55,2.532,0.986,0.784
XM_017354986.2,1917,0.475,64,2.585,0.982,0.828
NM_001130620.1,1980,0.469,42,1.697,0.966,0.627
XM_021474726.1,1644,0.521,41,1.995,0.973,0.745
XM_021474725.1,1644,0.521,41,1.995,0.973,0.745
XM_009299713.3,1644,0.521,41,1.995,0.973,0.745
XM_001919623.5,1644,0.521,41,1.995,0.973,0.745
NM_205671.1,744,0.617,15,1.613,0.978,0.569
XM_682056.7,882,0.422,17,1.542,0.93,0.773
XM_686652.8,4050,0.574,101,1.995,0.992,0.646
XM_009294874.3,3939,0.575,99,2,0.992,0.655
XM_021468660.1,4050,0.574,101,1.995,0.992,0.646
XM_017352254.2,2001,0.511,47,1.879,0.972,0.724
NM_001130777.1,450,0.542,12,2.133,0.98,0.702
NM_001080666.2,1935,0.469,67,2.621,0.969,0.998
XM_021478161.1,1539,0.493,44,2.25,0.986,0.733
NM_001126480.1,1527,0.493,44,2.252,0.986,0.738
XM_017351221.2,2133,0.527,47,1.763,0.962,0.702
XM_685166.8,1833,0.518,46,2.001,0.956,0.705
XM_021473734.1,1752,0.52,44,2.003,0.957,0.708
XM_021473128.1,1515,0.451,41,2.083,0.939,1.157
NM_212666.1,1536,0.542,34,1.771,0.977,0.616
XM_005166616.4,2031,0.509,55,2.15,0.962,0.785
XM_021477412.1,2016,0.508,54,2.139,0.97,0.778
XM_009303573.3,1962,0.509,54,2.167,0.961,0.81
NM_178300.1,1869,0.51,51,2.158,0.944,0.851
XM_005157571.4,1881,0.512,41,1.729,0.945,0.724
NM_200405.1,1716,0.505,37,1.702,0.944,0.697
XM_005157572.4,1860,0.512,41,1.741,0.947,0.719
XM_021481358.1,1695,0.498,36,1.697,0.941,0.714
NM_001025557.2,1497,0.452,46,2.292,0.965,1.022
NM_001191050.1,1620,0.473,44,2.136,0.973,0.773
NM_001177342.1,1587,0.469,45,2.203,0.982,0.864
NM_212439.2,4197,0.539,94,1.792,0.962,0.717
XM_009306375.3,3324,0.535,82,1.97,0.984,0.695
XM_009306374.3,3423,0.533,83,1.93,0.982,0.706
XM_009306372.3,4620,0.535,112,1.935,0.983,0.716
XM_009306370.3,4623,0.536,114,1.971,0.983,0.713
XM_009306371.3,4620,0.535,112,1.937,0.973,0.739
